Name,Efficiency,Efficiency Detail,Project,Owner,Cluster
vm59,-,-,_internal,admin,cluster2
vm60,-,-,_internal,admin,cluster1
vm61,Inactive,Inactive: The VM was powered off for the last 62 days.,_internal,admin,cluster1
vm62,-,-,_internal,admin,cluster1
vm63,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.89%) was below the minimum threshold (20%) and max hourly average memory usage (8.63%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm64,-,-,_internal,admin,cluster2
vm65,-,-,_internal,admin,cluster2
vm66,Overprovisioned,Overprovisioned: Max hourly average CPU usage (16.41%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm67,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.46%) was below the minimum threshold (20%) and max hourly average memory usage (47.97%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm68,Overprovisioned,Overprovisioned: Max hourly average CPU usage (11.34%) was below the minimum threshold (20%) and max hourly average memory usage (45.31%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,,,cluster1
vm69,-,-,_internal,admin,cluster3
vm70,-,-,_internal,admin,cluster2
vm71,Overprovisioned,Overprovisioned: Max hourly average CPU usage (4.91%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm72,-,-,_internal,admin,cluster2
vm73,-,-,_internal,admin,cluster2
vm74,-,-,_internal,admin,cluster2
vm75,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.16%) was below the minimum threshold (20%) and max hourly average memory usage (47.56%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm76,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.67%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm77,"Overprovisioned,Constrained","Constrained: Max hourly average memory usage (96.19%) was above the maximum threshold (95%) for 5% of the time in the lookback period., Overprovisioned: Max hourly average CPU usage (17.8%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.",_internal,admin,cluster2
vm78,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.14%) was below the minimum threshold (20%) and max hourly average memory usage (48.7%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm79,-,-,_internal,admin,cluster2
vm80,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.05%) was below the minimum threshold (20%) and max hourly average memory usage (12.67%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm81,-,-,_internal,admin,cluster3
vm82,-,-,_internal,admin,cluster3
vm83,Overprovisioned,Overprovisioned: Max hourly average CPU usage (21.52%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm84,-,-,_internal,admin,cluster3
vm85,-,-,_internal,admin,cluster3
vm86,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.84%) was below the minimum threshold (20%) and max hourly average memory usage (35.8%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm87,-,-,_internal,admin,cluster3
vm88,"Overprovisioned,Constrained","Constrained: Max hourly average memory usage (92.68%) was above the maximum threshold (90%) for 5% of the time in the lookback period., Overprovisioned: Max hourly average CPU usage (35.33%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.",_internal,admin,cluster3
vm89,-,-,_internal,admin,cluster3
vm90,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.97%) was below the minimum threshold (20%) and max hourly average memory usage (35.95%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm91,-,-,_internal,admin,cluster3
vm92,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.94%) was below the minimum threshold (20%) and max hourly average memory usage (21.93%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm93,-,-,_internal,admin,cluster3
vm94,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.84%) was below the minimum threshold (20%) and max hourly average memory usage (21.78%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm95,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.04%) was below the minimum threshold (20%) and max hourly average memory usage (23.93%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm96,-,-,_internal,admin,cluster3
vm97,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.07%) was below the minimum threshold (20%) and max hourly average memory usage (29.69%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm98,-,-,_internal,admin,cluster3
vm99,-,-,_internal,admin,cluster3
vm100,-,-,_internal,admin,cluster3
